id,path,label_id,label_name
0,n02112706_2155,n02112706,Brabancon griffon
1,n02095889_4725,n02095889,"Sealyham terrier, Sealyham"
2,n03017168_1021,n03017168,"chime, bell, gong"
3,n06359193_63184,n06359193,"web site, website, internet site, site"
4,n01914609_5018,n01914609,"sea anemone, anemone"
5,n04485082_4720,n04485082,tripod
6,n02259212_10007,n02259212,leafhopper
7,n02892201_1649,n02892201,"brass, memorial tablet, plaque"
8,n02398521_30451,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius"
9,n02281787_3314,n02281787,"lycaenid, lycaenid butterfly"
10,n03930313_18749,n03930313,"picket fence, paling"
11,n01914609_1397,n01914609,"sea anemone, anemone"
12,n02795169_19938,n02795169,"barrel, cask"
13,n01665541_44044,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
14,n02391049_6359,n02391049,zebra
15,n02108089_4323,n02108089,boxer
16,n07754684_8050,n07754684,"jackfruit, jak, jack"
17,n03977966_25613,n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
18,n07697537_34124,n07697537,"hotdog, hot dog, red hot"
19,n02056570_8411,n02056570,"king penguin, Aptenodytes patagonica"
20,n02259212_3305,n02259212,leafhopper
21,n03733131_3923,n03733131,maypole
22,n04532670_7251,n04532670,viaduct
23,n04592741_3295,n04592741,wing
24,n03976467_9176,n03976467,"Polaroid camera, Polaroid Land camera"
25,n04371430_13126,n04371430,"swimming trunks, bathing trunks"
26,n02108551_7851,n02108551,Tibetan mastiff
27,n09288635_2814,n09288635,geyser
28,n02013706_2647,n02013706,"limpkin, Aramus pictus"
29,n10148035_7385,n10148035,"groom, bridegroom"
30,n02085620_8761,n02085620,Chihuahua
31,n02412080_216,n02412080,"ram, tup"
32,n01833805_3708,n01833805,hummingbird
33,n03207743_3576,n03207743,"dishrag, dishcloth"
34,n04409515_21724,n04409515,tennis ball
35,n04118776_46440,n04118776,"rule, ruler"
36,n01608432_1801,n01608432,kite
37,n03724870_11157,n03724870,mask
38,n03944341_7690,n03944341,pinwheel
39,n02107312_6375,n02107312,miniature pinscher
40,n03187595_9495,n03187595,"dial telephone, dial phone"
41,n02085620_8788,n02085620,Chihuahua
42,n03837869_6561,n03837869,obelisk
43,n04254777_10710,n04254777,sock
44,n02930766_27714,n02930766,"cab, hack, taxi, taxicab"
45,n02692877_13725,n02692877,"airship, dirigible"
46,n03584829_34944,n03584829,"iron, smoothing iron"
47,n03887697_6912,n03887697,paper towel
48,n03314780_8558,n03314780,face powder
49,n02500267_2064,n02500267,"indri, indris, Indri indri, Indri brevicaudatus"
